"Id","Prediction1","Prediction2","Prediction3","Prediction4","Prediction5","Prediction6","Prediction7","Prediction8","Prediction9"
"kBvgEC8XjqmJ15wlGzNi",0.15,0.196,0.264,0.098,0.054,0.068,0.024,0.046,0.1
"KBZ4cC3QsAgrqI80OWlm",0.126,0.166,0.44,0.068,0.04,0.058,0.01,0.036,0.056
"KBZO3jLb5A7ieDWYTMgR",0.112,0.142,0.414,0.044,0.056,0.034,0.042,0.062,0.094
"Kc1MZuDl4XTwY5dBVHGO",0.146,0.194,0.416,0.052,0.044,0.032,0.022,0.036,0.058
"kC1v6rlGVYspQnWb4LcE",0.1,0.188,0.472,0.036,0.046,0.058,0.016,0.028,0.056
"Kc4SyjBQDJw2bgkFL7xW",0.126,0.132,0.458,0.058,0.064,0.044,0.02,0.022,0.076
"kC5hXWqHeafnmlFZYt8K",0.118,0.13,0.476,0.058,0.06,0.05,0.026,0.036,0.046
"kc7ngdq2ZCAfiPTQX1Ov",0.134,0.184,0.382,0.05,0.05,0.062,0.024,0.058,0.056
"KceFACkhxOnPlMqSm1u5",0.23,0.24,0.116,0.064,0.048,0.12,0.008,0.05,0.124
"kChVuJ4xHPYBjWz26EAq",0.134,0.218,0.37,0.064,0.048,0.062,0.024,0.024,0.056
"kCq4p9vu85HPdKmwYrQf",0.142,0.194,0.4,0.04,0.056,0.052,0.016,0.034,0.066
"KCvj7cQ1dHEFDBruTZpV",0.114,0.136,0.514,0.044,0.046,0.042,0.012,0.032,0.06
"KCvjZO7bGhenNRq8xLsf",0.172,0.196,0.316,0.052,0.028,0.078,0.008,0.03,0.12
"Kd12HQZcimaelnDO9EUh",0.126,0.214,0.458,0.028,0.042,0.03,0.04,0.018,0.044
"kD5xoVPaUnfEJie3BSqb",0.116,0.148,0.482,0.046,0.054,0.028,0.034,0.04,0.052
"kD7mOzsypXe92BPjnbEJ",0.126,0.158,0.428,0.05,0.044,0.048,0.026,0.042,0.078
"kdGtRWsX5KwEOfqzeQVc",0.13,0.128,0.456,0.05,0.044,0.042,0.032,0.05,0.068
"KDHx9P6m25ocdLaqVn8k",0.142,0.224,0.272,0.072,0.054,0.096,0.014,0.052,0.074
"KdNvgGqOjlb4ipZ8R9AW",0.228,0.098,0.08,0.092,0.04,0.116,0.048,0.144,0.154
"KdPYn71UFm5JOt3gxR69",0.136,0.12,0.418,0.044,0.068,0.034,0.048,0.036,0.096
"KDQ13ouamdPnSlhzTRJe",0.29,0.362,0.14,0.014,0.012,0.058,0.008,0.03,0.086
"KE3w1tc4flX7UngQ5yTq",0.174,0.148,0.378,0.064,0.054,0.048,0.018,0.058,0.058
"kedWYlqLXtZ4URpVjTKA",0.14,0.2,0.252,0.094,0.048,0.1,0.036,0.042,0.088
"KEhusGlH2O4qwTymPZRQ",0.112,0.14,0.478,0.05,0.046,0.048,0.03,0.034,0.062
"keoP0INSCfWVK8JAUtqH",0.2,0.224,0.188,0.06,0.024,0.1,0.022,0.052,0.13
"kErULV6zb45aPAcde0Gg",0.252,0.128,0.08,0.062,0.028,0.112,0.038,0.166,0.134
"kESYlrHR7uPsmAQ15yGD",0.192,0.476,0.132,0.032,0.01,0.036,0.004,0.03,0.088
"KeUbT8aAzGDE7YxNkWwh",0.104,0.154,0.41,0.064,0.064,0.05,0.02,0.034,0.1
"KeY3vQyRA4qXkVfoMuhz",0.252,0.198,0.148,0.068,0.002,0.106,0.022,0.084,0.12
"KeYSwrbd2cI6o9TkOpi4",0.182,0.198,0.302,0.05,0.028,0.074,0.01,0.036,0.12
"Kfa8gNoHYOjXVv1A7ueB",0.286,0.24,0.106,0.048,0.022,0.15,0.012,0.048,0.088
"KFboDTnWNsOkzIl8rX6R",0.122,0.132,0.506,0.046,0.018,0.052,0.014,0.05,0.06
"KFBXbSr9a8mYC7cDkflH",0.168,0.19,0.386,0.044,0.034,0.04,0.022,0.044,0.072
"KFczEQCIau7D20MROmHl",0.17,0.232,0.278,0.06,0.046,0.084,0.014,0.03,0.086
"kFeS80wi6C4ghrZWsDzp",0.184,0.176,0.394,0.052,0.058,0.028,0.032,0.026,0.05
"KFHlYPzy0Emni9exLs3C",0.272,0.266,0.166,0.05,0.02,0.062,0.024,0.068,0.072
"kfJlNShP5YTmDQCnIbsz",0.14,0.142,0.382,0.072,0.068,0.036,0.04,0.044,0.076
"KFlbgmf4GZjHhIsX92Yr",0.148,0.146,0.394,0.058,0.044,0.07,0.018,0.054,0.068
"Kfycqa1HbCrsp59B6wiD",0.132,0.146,0.418,0.044,0.036,0.042,0.038,0.04,0.104
"kFzcHMjhVK01fla5LZU4",0.138,0.214,0.442,0.032,0.034,0.036,0.016,0.028,0.06
"kG04owYzu6xi5ZFNm2bA",0.306,0.182,0.132,0.062,0.012,0.078,0.008,0.094,0.126
"Kg5r4wAEVMxXTNtpC9fi",0.278,0.262,0.098,0.048,0.022,0.096,0.026,0.092,0.078
"KG6ZtkgjohnTHX9McR4w",0.298,0.252,0.088,0.028,0.012,0.158,0.014,0.042,0.108
"KGA8EhzSPqxyN9wCmeiV",0.182,0.124,0.114,0.092,0.048,0.192,0.054,0.086,0.108
"kGcnKw1FrlZ5iDPa4SV6",0.286,0.152,0.132,0.078,0.032,0.054,0.032,0.108,0.126
"KgeRjWv2mEbQUZTcMNyr",0.144,0.244,0.262,0.064,0.044,0.086,0.008,0.04,0.108
"KgIFab2pZd0huJErCLxf",0.136,0.236,0.402,0.052,0.028,0.04,0.022,0.018,0.066
"KGPCEf430IcB1OpbthkR",0.122,0.41,0.146,0.042,0.02,0.156,0.006,0.032,0.066
"kGSAgjOMfsVwpRHt86XP",0.206,0.084,0.068,0.11,0.046,0.12,0.058,0.164,0.144
"KgTenSHvjFyEG9BV2Yur",0.126,0.184,0.428,0.04,0.032,0.048,0.048,0.024,0.07
"kGW27noyvwBUJXeMQzgI",0.224,0.372,0.174,0.024,0.014,0.058,0.01,0.044,0.08
"kh7sCzRjDlfmLeoivaSx",0.146,0.08,0.068,0.102,0.026,0.172,0.074,0.154,0.178
"KHc36DE5SXAedfmtq7pI",0.336,0.208,0.096,0.074,0.02,0.08,0.024,0.07,0.092
"Khd7twRzTPgCji3v4lmS",0.2,0.212,0.296,0.03,0.034,0.094,0.024,0.042,0.068
"KHepg3qX6ZWOy2VsdRDQ",0.206,0.324,0.16,0.034,0.018,0.06,0.03,0.058,0.11
"KhP86Nrz3fbmHCo9U0Bi",0.13,0.162,0.468,0.064,0.04,0.04,0.014,0.034,0.048
"KHpJcA0hTf7yrBuMia3S",0.27,0.234,0.152,0.03,0.01,0.048,0.018,0.082,0.156
"kHZ8QmvqJ5KdliPrshLF",0.108,0.174,0.49,0.024,0.028,0.038,0.004,0.04,0.094
"KI1eOvfhVoEsa50DLQdA",0.158,0.22,0.372,0.038,0.032,0.034,0.042,0.028,0.076
"ki5IBXOYRUDbPftZu2Fj",0.132,0.164,0.404,0.064,0.046,0.044,0.034,0.036,0.076
"KI6VEf2DqSA1MwOmNkne",0.306,0.248,0.128,0.038,0.014,0.122,0.01,0.026,0.108
"KI96FxUmuC5XiYrBOhos",0.162,0.2,0.376,0.036,0.032,0.042,0.026,0.048,0.078
"KiA21gsH53xyUJldhetY",0.336,0.25,0.132,0.028,0.012,0.094,0.014,0.022,0.112
"KiB71FlCte0Jcdh8AraW",0.232,0.396,0.14,0.02,0.002,0.07,0.016,0.024,0.1
"KIBotXZz3920bRdQDx6q",0.36,0.096,0.08,0.066,0.036,0.128,0.032,0.084,0.118
"kIitDxavgQ3S7RT5Uz6Y",0.084,0.144,0.586,0.012,0.026,0.042,0.012,0.036,0.058
"KiQ6kqfNGc2HCVjuwh8X",0.224,0.216,0.142,0.038,0.014,0.112,0.014,0.034,0.206
"kir0h6ysKoMBmn1EGWXI",0.154,0.21,0.416,0.024,0.05,0.036,0.01,0.028,0.072
"kiXUJmAB3EWldcIuTaCp",0.102,0.054,0.674,0.038,0.028,0.024,0.01,0.024,0.046
"kj6KzLyvhFOUtVaIwgdY",0.124,0.192,0.406,0.042,0.056,0.046,0.012,0.06,0.062
"KjahktrDysCMB0ol2LOE",0.216,0.202,0.132,0.06,0.014,0.16,0.028,0.09,0.098
"KjaMl5ZoxLbpeTWBcVI3",0.196,0.06,0.056,0.122,0.034,0.104,0.108,0.148,0.172
"KJAPc4qD5tMsXxkGVoe7",0.258,0.304,0.144,0.028,0.008,0.066,0.004,0.102,0.086
"kJCHiZQM5WpUGXa8YjmT",0.196,0.11,0.054,0.154,0.046,0.098,0.042,0.168,0.132
"kjczfhuJZytUIGiYMTKO",0.12,0.178,0.422,0.04,0.054,0.044,0.026,0.052,0.064
"KJfPRg9v7YoDId8Tur36",0.188,0.112,0.072,0.098,0.022,0.124,0.046,0.116,0.222
"KjlaqWhJTyCRIzgQ5SMA",0.33,0.146,0.138,0.044,0.014,0.098,0.028,0.07,0.132
"kJMF3bUKutpyOWw7Aie5",0.156,0.138,0.404,0.06,0.05,0.05,0.022,0.062,0.058
"KjPDpuYtB2ENFhkHfAUM",0.254,0.042,0.072,0.116,0.048,0.128,0.064,0.13,0.146
"KjQrS08N3ROdzhm4XJID",0.122,0.148,0.438,0.036,0.058,0.058,0.012,0.046,0.082
"KJrPf2Vo34EFvyHTb5ca",0.15,0.104,0.056,0.126,0.028,0.174,0.046,0.138,0.178
"kjY8x9QVn3WZd2EcHBoT",0.282,0.114,0.064,0.11,0.038,0.148,0.038,0.096,0.11
"KjZHu0Dl8zPBG3MarUt6",0.352,0.12,0.08,0.076,0.016,0.112,0.024,0.1,0.12
"Kk1nsQl2bv6AVZiJRpBx",0.154,0.148,0.398,0.076,0.048,0.042,0.01,0.044,0.08
"kK3GVSuYxfQlpAFhebE9",0.16,0.23,0.372,0.044,0.042,0.038,0.014,0.032,0.068
"kK5cmTLBN6fo3avxDzJs",0.174,0.076,0.082,0.092,0.024,0.206,0.08,0.106,0.16
"kKCWQRUBHXT0xPFZzviE",0.2,0.124,0.356,0.072,0.052,0.056,0.008,0.034,0.098
"kKJfXO8eMwhHUpoLi3g6",0.256,0.228,0.146,0.048,0.024,0.058,0.018,0.058,0.164
"kKSt1zOiFwNoH7sExBbg",0.268,0.218,0.062,0.072,0.004,0.164,0.026,0.06,0.126
"kKZDJb86Xi7GLj9EU45F",0.12,0.23,0.448,0.034,0.032,0.038,0.012,0.032,0.054
"kL7xoqY4CWPOcivSJRND",0.158,0.218,0.27,0.07,0.058,0.1,0.016,0.038,0.072
"kl9CO7DQgVp3qwtPdL2r",0.188,0.154,0.412,0.042,0.044,0.042,0.02,0.028,0.07
"KLCJ54mcXibYSkrIowea",0.134,0.092,0.514,0.048,0.04,0.058,0.03,0.032,0.052
"kLEO8IGfFSqozQAZ45Py",0.26,0.232,0.126,0.034,0.006,0.108,0.03,0.076,0.128
"klG826nTQ0tibh7XKyzw",0.344,0.076,0.106,0.058,0.026,0.122,0.052,0.082,0.134
"Klmu2kvABid9GO1oWECw",0.138,0.166,0.394,0.062,0.054,0.048,0.026,0.058,0.054
"klPyYfR0i6hw2m87zQOd",0.142,0.174,0.388,0.048,0.038,0.054,0.032,0.04,0.084
"klU0puwnxOFAgH4M65rN",0.16,0.122,0.43,0.068,0.044,0.044,0.034,0.022,0.076
"KlUrxFo6M430ILWRaQOq",0.154,0.196,0.104,0.116,0.054,0.164,0.018,0.09,0.104
"KLWS8rqmP5CaIdl9Rbwt",0.188,0.19,0.092,0.134,0.032,0.112,0.048,0.122,0.082
"klYbmsOX4UVwenuBqajp",0.2,0.416,0.13,0.02,0.018,0.058,0.012,0.034,0.112
"KlYSULBXo4uDrgnaiMwk",0.192,0.174,0.246,0.084,0.058,0.126,0.026,0.04,0.054
"Km8una26O7PXrf9EdiVL",0.276,0.318,0.1,0.038,0.014,0.08,0.02,0.048,0.106
"kmgiCGj5SPI0RrAUpYqd",0.172,0.204,0.18,0.05,0.022,0.084,0.022,0.062,0.204
"KMh2yDGU0arC9FsgfAdO",0.338,0.076,0.088,0.078,0.028,0.098,0.024,0.13,0.14
"kmH7l0JGpKQcu8n5AieC",0.128,0.17,0.428,0.054,0.052,0.032,0.014,0.05,0.072
"kmHT32D4xXjCvYZlJ7rz",0.188,0.296,0.12,0.06,0.04,0.076,0.008,0.072,0.14
"kmoP4dlrVeCXjWy7psb6",0.202,0.168,0.06,0.116,0.024,0.114,0.05,0.084,0.182
"kmV03tiB4Sn8TAjDRgaM",0.182,0.146,0.134,0.052,0.024,0.118,0.042,0.07,0.232
"kMW5ph9PUlTL1zeO7v0S",0.274,0.074,0.074,0.116,0.034,0.104,0.058,0.104,0.162
"kn0Hc9E7Xyl4zmuSZGLJ",0.156,0.108,0.048,0.232,0.028,0.104,0.022,0.158,0.144
"Kn5gkb4W6Mz0rRZIoOtf",0.158,0.242,0.362,0.034,0.042,0.026,0.036,0.038,0.062
"Kn6UXspDdgtwo7NGcSzR",0.314,0.224,0.148,0.036,0.018,0.08,0.026,0.062,0.092
"kNaeA1bKLyTYCiwcHRuW",0.082,0.078,0.71,0.008,0.032,0.046,0.012,0.014,0.018
"kNaJHRoUBItgMDczQEF6",0.19,0.18,0.266,0.052,0.054,0.08,0.024,0.062,0.092
"KneDXypBEb5LSRsumkaC",0.306,0.164,0.086,0.09,0.022,0.098,0.04,0.096,0.098
"kNfxV2T16FivMcSsypm9",0.226,0.142,0.168,0.05,0.022,0.08,0.036,0.084,0.192
"kNoYFsePUh8uLWx7gEmz",0.19,0.222,0.234,0.07,0.034,0.11,0.018,0.064,0.058
"knOYleo3Ra7dgpTjNFUC",0.176,0.076,0.1,0.104,0.036,0.176,0.102,0.114,0.116
"KNvsfthG2Pi97V6FbDCL",0.204,0.04,0.09,0.194,0.038,0.12,0.072,0.104,0.138
"kNX5lZbpGWL3VgO8Hrdc",0.304,0.264,0.154,0.034,0.02,0.054,0.01,0.056,0.104
"KoDE0fpaQMG8T6RhjrSn",0.19,0.194,0.268,0.05,0.05,0.076,0.028,0.06,0.084
"kOdNEuQ4z1mVWoLxTrnP",0.136,0.14,0.458,0.026,0.044,0.036,0.03,0.052,0.078
"KOFjpx4N2u1EAGMIT38i",0.326,0.18,0.056,0.1,0.022,0.084,0.038,0.082,0.112
"kOG27VvCYUieZ8dXWKFT",0.126,0.164,0.466,0.028,0.042,0.034,0.016,0.046,0.078
"KOHC6vwryfx39bNpQI1W",0.162,0.134,0.386,0.07,0.068,0.058,0.018,0.042,0.062
"KOIqk23f0eh6GBvmCJAi",0.22,0.242,0.156,0.07,0.022,0.084,0.022,0.06,0.124
"koKcTBFh6OsfeQurPdX0",0.056,0.032,0.014,0.076,0.016,0.058,0.044,0.628,0.076
"Kokva8eudpqOTnDNsrjx",0.122,0.114,0.484,0.06,0.052,0.046,0.026,0.018,0.078
"KOnRu8zyDgf3SPZW0B5i",0.158,0.258,0.156,0.082,0.018,0.14,0.04,0.054,0.094
"kORPtu7LpHJ34UbcSXIs",0.084,0.028,0.056,0.1,0.04,0.102,0.078,0.4,0.112
"KOtPQ3YMr9VwShdCkW0G",0.142,0.144,0.39,0.048,0.034,0.092,0.034,0.05,0.066
"kOvwHot8pFKxBZQGa9WU",0.21,0.208,0.134,0.048,0.016,0.096,0.048,0.07,0.17
"koWBd07ltihS9Oseuy5J",0.238,0.262,0.076,0.04,0.022,0.12,0.02,0.048,0.174
"kOyob690MWafVJQcdA4w",0.256,0.116,0.096,0.076,0.024,0.144,0.052,0.13,0.106
"Kp2DgSAM6PWbvdGrkFIu",0.128,0.162,0.414,0.028,0.04,0.032,0.042,0.056,0.098
"kP8Nh2GBQ1LS4wHXixWj",0.178,0.176,0.378,0.046,0.056,0.04,0.018,0.04,0.068
"KP9YUkWe0mdVXatfb3J4",0.308,0.232,0.116,0.038,0.01,0.076,0.016,0.116,0.088
"KPDpswWqXRhCrfcSiYFU",0.116,0.142,0.5,0.044,0.05,0.042,0.014,0.04,0.052
"KPE5wLGxWJpShlYAoMDt",0.2,0.27,0.13,0.034,0.01,0.088,0.018,0.06,0.19
"KpliYqCUSnagxRjcvVLb",0.168,0.13,0.452,0.036,0.042,0.032,0.04,0.028,0.072
"kPOWthdvoQinEmcHCYwF",0.156,0.194,0.392,0.034,0.044,0.036,0.02,0.028,0.096
"KPpgsXuFDSJAmVCkoYEh",0.038,0.026,0.874,0.01,0.008,0.012,0.01,0.016,0.006
"KpQdY43VLUGNjsg8DIRP",0.248,0.196,0.146,0.048,0.02,0.09,0.022,0.044,0.186
"KprYJMufGvRQFEwcXai0",0.254,0.166,0.144,0.078,0.022,0.07,0.014,0.05,0.202
"kpu1aZPW3doQIt6cgiE0",0.146,0.038,0.038,0.242,0.052,0.108,0.09,0.114,0.172
"kPvmQx1U5V3Cqbs207o8",0.146,0.046,0.06,0.184,0.03,0.154,0.07,0.178,0.132
"Kq1XY3dpkZTm2UtgoScH",0.152,0.162,0.386,0.068,0.028,0.068,0.014,0.016,0.106
"Kq3jEhGVcAyRYux0NQTw",0.156,0.212,0.376,0.044,0.046,0.036,0.022,0.038,0.07
"KQ8ostHL6kOBWINJ52ia",0.176,0.058,0.062,0.112,0.038,0.12,0.13,0.138,0.166
"kQEZGFpUlvBLMniA1PID",0.262,0.228,0.154,0.054,0.006,0.122,0.008,0.05,0.116
"KqH0CMbtUPvy3627cZaG",0.364,0.16,0.086,0.05,0.01,0.102,0.024,0.072,0.132
"KQhBbnIVzkGlFsUrPpEo",0.128,0.11,0.098,0.134,0.022,0.194,0.058,0.112,0.144
"KQhmae36WxFwJEP2dRnc",0.138,0.214,0.35,0.032,0.054,0.046,0.036,0.038,0.092
"KQNfmuhCZVL2Tdq9P1ox",0.224,0.172,0.138,0.042,0.014,0.074,0.012,0.088,0.236
"kqNoEFWJcx5hg8aY9RnT",0.318,0.07,0.124,0.06,0.032,0.114,0.046,0.102,0.134
"KqpxHbk5gIB6fWcrT1sv",0.214,0.152,0.078,0.108,0.038,0.156,0.058,0.078,0.118
"kQqgyMlvcLfOdZai8wAn",0.204,0.26,0.168,0.036,0.024,0.088,0.018,0.07,0.132
"kQU8rcmHw4nX6YSv0pVg",0.306,0.176,0.082,0.04,0.028,0.098,0.038,0.144,0.088
"kquK6t0MfpvBchWSj3r8",0.144,0.124,0.428,0.05,0.056,0.048,0.044,0.04,0.066
"kqvD736GuW0ZIeBXCSJb",0.138,0.254,0.412,0.036,0.036,0.04,0.014,0.038,0.032
"KqWTGLXMICY3fVdJ0a6S",0.17,0.146,0.352,0.056,0.028,0.062,0.03,0.082,0.074
"kqYKRLPGbS1BpNQXnEhf",0.122,0.18,0.412,0.044,0.062,0.036,0.02,0.046,0.078
"KR0J2r8dC7e5ylv6TBO4",0.116,0.094,0.11,0.128,0.042,0.162,0.072,0.178,0.098
"kr0zBNeyinxdgqFbSRmJ",0.154,0.156,0.358,0.05,0.044,0.048,0.052,0.058,0.08
"kr486TFKox2JOIptcsEm",0.234,0.172,0.106,0.084,0.032,0.094,0.016,0.104,0.158
"KrcouBJXt9w56Rzn2kdb",0.146,0.174,0.446,0.03,0.038,0.066,0.016,0.024,0.06
"KrCp0h6WzM5bcldA2ZfB",0.2,0.082,0.066,0.206,0.028,0.09,0.066,0.148,0.114
"KrcTptgA6adEjPs92nYw",0.26,0.222,0.094,0.104,0.032,0.058,0.054,0.072,0.104
"krcvwaG74DVn0bY92Bo3",0.302,0.114,0.126,0.048,0.012,0.098,0.048,0.098,0.154
"Krd7Lf1GuY3zmlkJNOIy",0.118,0.166,0.472,0.038,0.046,0.022,0.02,0.048,0.07
"KRESoq4MPIdhamnxB1j0",0.184,0.054,0.09,0.128,0.024,0.126,0.114,0.122,0.158
"Krg5aSOJcyb7iGBIWANE",0.128,0.032,0.024,0.102,0.026,0.106,0.09,0.374,0.118
"KRhgA4WqikOJr5acb7v0",0.176,0.214,0.228,0.088,0.086,0.068,0.022,0.044,0.074
"kRhOZ1VoeTEQ5jMYdAi6",0.158,0.062,0.084,0.136,0.04,0.13,0.088,0.15,0.152
"krJ39nKeY5WVSstqbgjF",0.3,0.216,0.14,0.064,0.028,0.08,0.026,0.048,0.098
"KrJgPojG2YXqD6h3OnL7",0.116,0.148,0.426,0.048,0.03,0.036,0.064,0.044,0.088
"kRJHCtPK5pWg1BITminf",0.184,0.128,0.228,0.132,0.082,0.08,0.01,0.08,0.076
"KRLpB4xIaHO1b6TJDguj",0.238,0.19,0.092,0.072,0.02,0.14,0.026,0.09,0.132
"kRlqDFth9doJ4LeG6NaO",0.134,0.222,0.408,0.042,0.034,0.036,0.012,0.022,0.09
"kRmF9Szy715CWrQAsgjV",0.062,0.036,0.02,0.056,0.01,0.052,0.062,0.67,0.032
"KRo3dktMBreVOTaN91ng",0.124,0.164,0.398,0.056,0.054,0.032,0.044,0.06,0.068
"KRpbT6s1SYtq9fygWnHa",0.138,0.172,0.372,0.044,0.042,0.036,0.036,0.064,0.096
"Krpz1iqB3xVAU2GE4uXs",0.182,0.154,0.43,0.034,0.044,0.044,0.012,0.032,0.068
"KrQA1qwVknXcLgp57yTd",0.072,0.024,0.012,0.08,0.032,0.102,0.102,0.492,0.084
"krqeHflb34U5GXFV6dKD",0.266,0.334,0.152,0.032,0.01,0.086,0.008,0.032,0.08
"KrqUNhJMkID1Bdc2RjL6",0.026,0.026,0.878,0.014,0.014,0.008,0.006,0.014,0.014
"krul0tsd5GNDpL8VmQJP",0.116,0.186,0.44,0.05,0.046,0.042,0.034,0.032,0.054
"KRw9UFNH0EMQCDdnq36t",0.088,0.168,0.504,0.028,0.048,0.048,0.018,0.042,0.056
"krwph0Tsv1eMgWau5AyC",0.156,0.182,0.43,0.038,0.028,0.03,0.02,0.034,0.082
"Krwy6hx1aS0LQqtT3u9A",0.23,0.194,0.178,0.046,0.014,0.064,0.024,0.064,0.186
"KRYaju0ftAxo8hwE2Qc7",0.138,0.138,0.1,0.1,0.016,0.136,0.058,0.178,0.136
"KrzCg8qa57Y9oXTWPEf2",0.138,0.15,0.368,0.08,0.06,0.054,0.02,0.06,0.07
"Ks05u9knMy3e2tWZbE1l",0.172,0.378,0.126,0.032,0.014,0.118,0.01,0.066,0.084
"kS4AXcLZgy08JotpBvVQ",0.148,0.158,0.37,0.042,0.034,0.068,0.036,0.074,0.07
"ks4VeDC58xPorHO3GEY2",0.166,0.058,0.092,0.134,0.026,0.138,0.128,0.108,0.15
"Ks4xrBOT1nJPdXjMRqg2",0.13,0.038,0.038,0.124,0.04,0.106,0.076,0.3,0.148
"ks8rpJhTM6u9gKZ5ENLF",0.076,0.026,0.048,0.274,0.064,0.06,0.218,0.148,0.086
"Ksb68Q0lrSPmTfN31WFo",0.112,0.112,0.524,0.032,0.048,0.042,0.018,0.064,0.048
"ksC3pfRQgOMayInuKhB4",0.11,0.074,0.06,0.114,0.022,0.154,0.104,0.164,0.198
"ksghRwPpEHZKS6racFJI",0.108,0.028,0.026,0.242,0.042,0.13,0.2,0.15,0.074
"KsgxWwSi5JAO4HZ8n6bN",0.124,0.132,0.514,0.042,0.046,0.044,0.01,0.032,0.056
"ksLDohN6CpB7zwRqZavy",0.186,0.09,0.07,0.076,0.046,0.196,0.052,0.106,0.178
"ksLeYO8JX5wulq0GZrFx",0.056,0.028,0.024,0.058,0.018,0.058,0.056,0.632,0.07
"kSlXc6bPEe7qCBwdyMzs",0.208,0.362,0.136,0.03,0.016,0.08,0.02,0.042,0.106
"KSLyD36lVQtdGanhRrom",0.31,0.266,0.09,0.044,0.01,0.058,0.014,0.08,0.128
"ksNj7giGHFqP0bxVm1SM",0.13,0.162,0.414,0.04,0.048,0.068,0.014,0.038,0.086
"KSTcW2vhyePkXQbsz6pZ",0.142,0.154,0.416,0.064,0.036,0.044,0.038,0.03,0.076
"kSTf8hs6Be9WGZCVIKUD",0.12,0.168,0.092,0.162,0.05,0.16,0.044,0.112,0.092
"KSVWC3EbRgzvAGoXIQNl",0.366,0.128,0.056,0.064,0.026,0.116,0.032,0.096,0.116
